motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr8	12115742	12115743	230847	0.5470249	+	1.75	N2
chr8	7424452	7424453	230286	0.3801141	-	2.17	N2
chr12	5889865	5889866	47672	0.3530672	-	2.51	N2
chr1	169106262	169106263	16262	0.6101936	+	2.9	N2
chrX	22666626	22666627	254130	0.1986682	+	3.23	N2
chr4	142283050	142283051	184001	0.2943945	+	3.44	N2
chr19	7012991	7012992	113150	-0.007697266	+	3.47	N2
chr17	12546098	12546099	93324	0.3911556	+	3.5	N2
chr8	137625803	137625804	239039	0.161058	-	3.66	N2
chr4	68577793	68577794	180363	0.1050254	-	3.66	N2
chr19	55913881	55913882	121583	0.2334184	+	4.02	N2
chr4	164700559	164700560	185207	0.09640409	+	4.05	N2
chr11	81658898	81658899	42394	0.0318771	+	4.11	N2
chr18	63022616	63022617	109817	0.2386478	+	4.26	N2
chr9	33617729	33617730	243151	0.1966717	+	4.29	N2
chr10	53786433	53786434	26389	0.1810635	+	4.71	N2
chrX	55343270	55343271	256145	1.11762	-	4.74	N2
chrX	31037067	31037068	254527	0.3900647	+	4.77	N2
chr14	78969315	78969316	67951	-0.09050951	+	4.8	N2
chr10	14200845	14200846	23690	0.5775147	+	4.86	N2
chr22	48720183	48720184	159924	0.3852547	-	4.89	N2
chrX	7017989	7017990	253074	0.08852577	-	4.98	N2
chr19	3526692	3526693	112318	0.1877206	+	5.01	N2
chr15	61195320	61195321	75898	1.069917	+	5.04	N2
chr10	129877974	129877975	33135	0.2787417	+	5.04	N2
chrX	128975917	128975918	259791	0.2012309	-	5.04	N2
chr11	1917821	1917822	34705	-0.09520253	-	5.04	N2
chr8	41146539	41146540	233108	0.5629792	+	5.14	N2
chr20	23320557	23320558	144323	0.07365981	-	5.17	N2
chr22	11492755	11492756	154476	1.507144	-	5.2	N2
chr10	77392069	77392070	28124	0.6794506	+	5.29	N2
chr12	15979307	15979308	48548	-0.01030485	-	5.29	N2
chr11	104334176	104334177	43554	0.3582516	-	5.29	N2
chr17	22513304	22513305	94578	1.136998	-	5.32	N2
chr19	47909550	47909551	120276	3.97798	+	5.35	N2
chr2	163878919	163878920	136018	0.4808617	-	5.35	N2
chr6	154974691	154974692	210926	0.2114038	+	5.35	N2
chr3	51819923	51819924	165466	0.1943778	-	5.38	N2
chr22	37983117	37983118	157892	0.04102483	+	5.41	N2
chr15	46304522	46304523	74921	0.6388934	+	5.5	N2
chr15	39802072	39802073	74176	0.5712601	+	5.53	N2
chr8	94262403	94262404	236243	0.336209	+	5.65	N2
chr11	71343759	71343760	41247	0.2924304	-	5.65	N2
chr2	113297769	113297770	132678	0.2813635	+	5.71	N2
chr15	85169045	85169046	78838	0.7713385	-	5.74	N2
chr21	18840345	18840346	151658	0.2364877	+	5.77	N2
chr12	127363599	127363600	56771	0.1820887	-	5.8	N2
chr12	104958340	104958341	54182	0.424946	-	5.83	N2
chrX	12568046	12568047	253488	0.2165443	-	5.86	N2
chrX	85627570	85627571	257732	0.3016951	+	5.86	N2
chr2	127865064	127865065	133854	0.02531214	+	5.89	N2
chr18	43587748	43587749	108344	0.7775324	-	5.92	N2
chr9	18791277	18791278	242445	0.07239039	-	5.95	N2
chr19	23284121	23284122	115983	0.9430118	-	6.04	N2
chr20	10077267	10077268	143265	0.6861078	-	6.07	N2
chr3	161305570	161305571	172717	-0.08502959	+	6.16	N2
chr5	79878905	79878906	192805	0.9556727	+	6.19	N2
chr20	42531039	42531040	147499	0.4349405	-	6.22	N2
chr16	19981062	19981063	84156	0.2566101	+	6.22	N2
chr15	27359021	27359022	73046	0.2310798	-	6.28	N2
chr1	208450131	208450132	19185	0.3247699	-	6.28	N2
chr10	126749232	126749233	32783	0.112209	-	6.31	N2
chr6	92810998	92810999	207422	0.06357315	-	6.37	N2
chr9	29212312	29212313	242924	-0.08185321	-	6.43	N2
chr9	83544582	83544583	245335	0.4688888	-	6.43	N2
chr6	12504564	12504565	201495	0.2333744	-	6.46	N2
chr8	142300034	142300035	239825	0.1085412	-	6.46	N2
chr9	137035250	137035251	251873	-0.3004936	-	6.46	N2
chr4	30714621	30714622	178695	0.3031678	+	6.49	N2
chr3	192188418	192188419	174454	0.426037	+	6.52	N2
chr17	11644462	11644463	93269	0.7630408	-	6.52	N2
chrX	81377538	81377539	257578	0.04964612	-	6.52	N2
chr21	26816196	26816197	151924	-0.07234125	+	6.56	N2
chr14	78902219	78902220	67944	0.6122648	-	6.59	N2
chr16	2560933	2560934	82190	1.808404	-	6.59	N2
