motif_chr	motif_start	motif_end	motif_index	salt_tolerance	strand	xchip_signal	peak_group
chr11	46842259	46842260	38258	-0.3106665	+	1.75	XChIP
chr7	38300419	38300420	219754	-0.3106665	-	2.17	XChIP
chr2	65801194	65801195	128932	-0.2701532	-	2.51	XChIP
chr2	45700851	45700852	127605	-0.3106665	+	2.9	XChIP
chr7	149832526	149832527	227801	-0.3035179	+	3.23	XChIP
chr1	19872341	19872342	3852	-0.2904991	-	3.44	XChIP
chr17	15882246	15882247	93580	-0.3004936	-	3.47	XChIP
chr17	8253981	8253982	92904	-0.3106665	+	3.5	XChIP
chr10	100729648	100729649	30208	-0.2833505	-	3.66	XChIP
chr19	32748748	32748749	117731	-0.3106665	+	3.66	XChIP
chr12	26863714	26863715	49080	-0.2841973	-	4.02	XChIP
chr10	47461459	47461460	25914	-0.3106665	+	4.05	XChIP
chr14	82009217	82009218	68102	-0.2508326	+	4.11	XChIP
chr5	135011245	135011246	195549	-0.2904991	+	4.26	XChIP
chr4	143254618	143254619	184052	-0.2711784	-	4.29	XChIP
chr10	123044585	123044586	32283	-0.3106665	+	4.71	XChIP
chr17	73305251	73305252	99979	-0.3015188	+	4.74	XChIP
chr12	51820894	51820895	50682	-0.3106665	-	4.77	XChIP
chr12	18224947	18224948	48640	-0.3015188	-	4.8	XChIP
chr13	59771473	59771474	60671	-0.3106665	-	4.86	XChIP
chr1	169193686	169193687	16273	-0.3106665	-	4.89	XChIP
chr3	11662585	11662586	161802	-0.3004936	+	4.98	XChIP
chr4	176123915	176123916	185758	-0.1834947	-	5.01	XChIP
chr14	63728247	63728248	66433	-0.3106665	+	5.04	XChIP
chr19	36056329	36056330	118266	-0.3106665	-	5.04	XChIP
chr9	123356084	123356085	248808	-0.3106665	+	5.04	XChIP
chr15	82647441	82647442	78574	-0.3015188	+	5.04	XChIP
chr1	243947254	243947255	22055	-0.2296399	-	5.14	XChIP
chr10	11412124	11412125	23418	-0.3106665	+	5.17	XChIP
chrX	69618999	69619000	256833	-0.2904991	-	5.2	XChIP
chr2	74179222	74179223	129727	-0.3035179	-	5.29	XChIP
chr5	54061803	54061804	191117	-0.2913459	-	5.29	XChIP
chr3	4334756	4334757	161108	-0.3004936	+	5.29	XChIP
chr18	74964008	74964009	110345	-0.293345	-	5.32	XChIP
chr3	46372693	46372694	164581	-0.3106665	-	5.35	XChIP
chr5	155147432	155147433	197505	-0.2711784	-	5.35	XChIP
chr2	177718015	177718016	137000	-0.3004936	+	5.35	XChIP
chr13	36848774	36848775	59317	-0.1699844	+	5.38	XChIP
chr4	128644888	128644889	183392	-0.3106665	-	5.41	XChIP
chr3	68878520	68878521	166889	-0.2019935	-	5.5	XChIP
chr1	57079958	57079959	8621	-0.2121664	+	5.53	XChIP
chr10	23082103	23082104	24232	-0.2103193	+	5.65	XChIP
chrX	101803650	101803651	258362	-0.2443539	-	5.65	XChIP
chr6	97979193	97979194	207610	-0.2408381	-	5.71	XChIP
chr16	55703594	55703595	86887	-0.2813514	-	5.74	XChIP
chr22	32207075	32207076	157113	-0.2103193	-	5.77	XChIP
chr9	73684034	73684035	244791	-0.2803262	+	5.8	XChIP
chr4	110586431	110586432	182519	-0.2943702	-	5.83	XChIP
chr15	52163721	52163722	75284	-0.2028154	+	5.86	XChIP
chr1	112673781	112673782	11842	-0.3004936	-	5.86	XChIP
chr19	18590852	18590853	115343	-0.3035179	+	5.89	XChIP
chr16	28323855	28323856	84929	-0.3106665	+	5.92	XChIP
chr22	44623859	44623860	159102	-0.3015188	-	5.95	XChIP
chr1	237492566	237492567	21733	-0.2711784	-	6.04	XChIP
chr3	10951002	10951003	161696	-0.2538569	+	6.07	XChIP
chr7	127514713	127514714	225829	-0.3015188	-	6.16	XChIP
chr1	38072056	38072057	6572	-0.3106665	-	6.19	XChIP
chr4	108131116	108131117	182379	-0.3106665	+	6.22	XChIP
chr2	87229302	87229303	130519	-0.2747574	+	6.22	XChIP
chr1	214320126	214320127	19712	-0.2921678	+	6.28	XChIP
chr5	172666504	172666505	198683	-0.3106665	+	6.28	XChIP
chr14	103281662	103281663	70337	-0.2913459	-	6.31	XChIP
chr2	181438473	181438474	137198	-0.3106665	+	6.37	XChIP
chr9	122463912	122463913	248749	-0.2701532	+	6.43	XChIP
chr8	100676762	100676763	236717	-0.3106665	-	6.43	XChIP
chr7	21300863	21300864	218340	-0.2508326	+	6.46	XChIP
chr17	8888663	8888664	92990	-0.3004936	+	6.46	XChIP
chr18	56563823	56563824	109363	-0.2803262	-	6.46	XChIP
chr5	148729375	148729376	196839	-0.3106665	-	6.49	XChIP
chr13	113951298	113951299	63513	-0.3106665	+	6.52	XChIP
chr18	32549443	32549444	107723	-0.1514857	-	6.52	XChIP
chr4	64618022	64618023	180209	-0.3106665	+	6.52	XChIP
chr10	21241337	21241338	24097	-0.2516545	+	6.56	XChIP
chr1	70436773	70436774	9467	-0.2963694	+	6.59	XChIP
chr3	4670532	4670533	161129	-0.3106665	+	6.59	XChIP
chr6	57190288	57190289	205762	-0.3106665	+	6.62	XChIP
chr22	20431114	20431115	155303	-0.2336895	+	6.65	XChIP
chr3	143016516	143016517	171607	-0.2648518	-	6.68	XChIP
chr20	41078529	41078530	147347	-0.293345	-	6.71	XChIP
chr3	178084411	178084412	173448	-0.2168594	+	6.74	XChIP
chr12	12975860	12975861	48364	-0.3106665	-	6.74	XChIP
chr3	172982903	172982904	173276	-0.3106665	+	6.77	XChIP
chr12	127690364	127690365	56801	-0.2758715	-	6.8	XChIP
chr16	74035052	74035053	88683	-0.3035179	-	6.83	XChIP
chr17	5592584	5592585	92468	-0.09091206	+	6.83	XChIP
chr7	78924802	78924803	222945	-0.3004936	-	6.95	XChIP
chr6	44265040	44265041	204972	-0.293345	-	7.01	XChIP
chr10	92644705	92644706	29397	-0.1834947	-	7.04	XChIP
chr6	130076718	130076719	209367	-0.3106665	+	7.07	XChIP
chr3	49931045	49931046	165180	-0.3004936	+	7.07	XChIP
chr6	6494963	6494964	201065	-0.3106665	-	7.07	XChIP
chr6	6712667	6712668	201093	-0.3106665	+	7.1	XChIP
chr1	172826192	172826193	16495	-0.3106665	+	7.1	XChIP
chr8	103871501	103871502	236994	-0.3106665	-	7.13	XChIP
chr7	101856966	101856967	224463	-0.3106665	-	7.16	XChIP
chr12	32106672	32106673	49430	-0.3106665	-	7.22	XChIP
chr14	19311214	19311215	63738	-0.224008	-	7.28	XChIP
chr6	98769738	98769739	207634	-0.2546788	+	7.37	XChIP
chr8	103104368	103104369	236940	-0.3106665	+	7.49	XChIP
chr16	20806885	20806886	84240	-0.3106665	+	7.52	XChIP
chr12	45388748	45388749	50030	-0.3004936	-	7.55	XChIP
chr4	143203011	143203012	184049	-0.3106665	+	7.61	XChIP
chr9	133438004	133438005	250682	-0.293345	-	7.64	XChIP
chr11	840066	840067	34316	-0.2803262	-	7.67	XChIP
chr11	110435440	110435441	43854	-0.2943702	+	7.67	XChIP
chr2	68225405	68225406	129055	-0.3106665	-	7.73	XChIP
chr8	104530488	104530489	237032	-0.3106665	-	7.76	XChIP
chr12	8780602	8780603	48064	-0.3106665	+	7.79	XChIP
chr3	12901916	12901917	161936	-0.3106665	+	7.79	XChIP
chrX	65746180	65746181	256585	-0.3106665	+	7.82	XChIP
