motif_chr	motif_start	motif_end	motif_index	salt_tolerance	U	C	D	strand	xchip_signal	CUTRUN_signal	CUTTag_signal
chr1	16252	16253	4	-0.303517944527422	0	1	0	+	1.33	0	0.21
chr1	104993	104994	10	-0.310666527825655	0	1	0	-	1.57	0	0
chr1	138979	138980	18	-0.310666527825655	0	1	0	+	4.83	0.34	0.31
chr1	268007	268008	30	0.835128869090029	0	1	1	+	25.98	0.51	0.31
chr1	281557	281558	31	-0.310666527825655	0	1	0	-	2.36	0	0
chr1	586161	586162	66	0.394649608381093	0	1	1	+	7.91	0.34	0.21
chr1	609391	609392	73	-0.273177592737698	0	1	0	+	1.18	0	0
chr1	610743	610744	93	-0.235358165385293	0	1	0	+	3.35	0.17	0
chr1	666038	666039	96	-0.310666527825655	0	1	0	-	1.36	0	0
chr1	850560	850561	116	-0.303517944527422	0	1	0	-	1.51	0.17	0.1
chr1	858087	858088	118	-0.310666527825655	0	1	0	-	6.52	0.17	0
chr1	869926	869927	124	1.24182606733531	0	1	0	+	23.47	1.19	3.86
chr1	904776	904777	129	3.96145415492937	0	1	0	+	26.61	0.68	3.75
chr1	912763	912764	132	-0.310666527825655	0	1	0	+	0.79	0.34	0.31
chr1	919795	919796	137	-0.310666527825655	0	1	0	+	1.18	0	0.31
chr1	921200	921201	138	-0.310666527825655	0	1	0	-	4.17	1.02	1.35
chr1	923205	923206	140	-0.310666527825655	0	1	0	-	1.36	0.34	0.21
chr1	925121	925122	142	-0.310666527825655	0	1	0	-	2.66	0	0.21
chr1	931712	931713	145	-0.310666527825655	0	1	0	-	1	0.17	0.21
chr1	938307	938308	150	-0.310666527825655	0	1	0	-	8.34	0	0.63
chr1	951567	951568	162	-0.310666527825655	0	1	0	-	3.14	0	0.1
chr1	976216	976217	175	-0.28032617603593	1	1	1	-	5.92	0.17	0.31
chr1	984325	984326	179	2.48255824758633	1	1	0	+	22.96	2.55	3.54
chr1	998657	998658	184	-0.209472530974043	1	1	0	+	2.05	0.17	0.1
chr1	1002034	1002035	188	2.38330557903156	0	1	0	-	26.04	3.73	2.61
chr1	1015562	1015563	190	-0.162302086342091	0	1	0	+	6.95	0.17	0
chr1	1019449	1019450	191	-0.103201155236221	0	1	0	+	12.78	2.72	2.81
chr1	1033105	1033106	200	1.01559552683887	1	1	1	+	18.03	2.38	3.02
chr1	1059412	1059413	213	-0.101621382762641	0	1	0	-	17.7	2.04	3.13
chr1	1064009	1064010	216	-0.111615851587492	0	1	1	-	22.5	1.02	2.71
chr1	1122271	1122272	225	0.0872563519930852	0	1	0	+	19.3	0.34	0.73
chr1	1230876	1230877	266	-0.310666527825655	1	1	0	-	5.38	0.34	0
chr1	1250371	1250372	280	-0.300493586343218	0	1	0	-	14.92	0.68	0.52
chr1	1274245	1274246	293	-0.310666527825655	0	1	0	-	0.97	0.51	0.63
chr1	1284070	1284071	299	-0.290499117518367	0	1	0	+	1.33	0.17	0
chr1	1290339	1290340	308	1.51000617309297	1	1	0	-	9.52	1.87	1.25
chr1	1292026	1292027	310	-0.0781764818709663	0	1	0	-	8.46	1.7	1.88
chr1	1302124	1302125	316	-0.101621382762641	0	1	0	+	9.39	0.51	0.42
chr1	1305399	1305400	319	-0.310666527825655	0	1	0	+	1.42	0	0.42
chr1	1310502	1310503	322	-0.310666527825655	0	1	0	-	0.94	0.17	0
chr1	1345093	1345094	336	-0.310666527825655	0	1	0	+	1.15	0.51	0.31
chr1	1349420	1349421	341	0.885366934439247	0	1	0	+	12.05	0.51	2.81
chr1	1372232	1372233	352	3.4867702525442	1	1	0	-	21.72	0.85	3.13
chr1	1375240	1375241	353	-0.310666527825655	0	1	0	-	3.41	1.53	5.21
chr1	1376514	1376515	354	-0.301518793530445	0	1	0	-	6.71	0.68	0.63
chr1	1399790	1399791	358	-0.310666527825655	0	1	0	-	1.87	2.21	2.92
chr1	1402167	1402168	360	-0.0299458134978646	0	1	0	-	13.71	0.51	0.21
chr1	1430580	1430581	367	-0.310666527825655	0	1	0	+	1.03	0.17	0.31
chr1	1441075	1441076	372	2.33375162143315	0	1	0	-	24.68	0.68	3.44
chr1	1551008	1551009	395	-0.310666527825655	0	1	0	-	2.17	0.17	0.42
chr1	1597815	1597816	399	-0.310666527825655	0	1	0	+	2.27	0.17	0.52
chr1	1620265	1620266	404	-0.203170682205451	0	1	0	-	7.46	0.34	0.21
chr1	1645072	1645073	420	-0.300493586343218	0	1	0	+	2.08	0.17	0.1
chr1	1659390	1659391	421	-0.301518793530445	0	1	0	-	9.42	1.19	1.56
chr1	1665874	1665875	423	0.680744841048881	0	1	1	-	14.5	0.68	0.31
chr1	1679079	1679080	425	0.0405052858845299	1	1	0	-	8.1	0.17	0.52
chr1	1693366	1693367	428	-0.301518793530445	0	1	0	-	1.39	0.51	1.46
chr1	1712210	1712211	435	-0.310666527825655	0	1	0	+	0.85	0	0.1
chr1	1724701	1724702	436	-0.27200036594361	0	1	0	-	8.76	3.05	2.71
chr1	1746632	1746633	439	-0.310666527825655	0	1	0	-	4.26	0.17	1.15
chr1	1778255	1778256	447	-0.310666527825655	0	1	0	-	1.33	0.17	1.15
chr1	1779199	1779200	448	-0.310666527825655	0	1	0	+	3.69	0.34	1.67
chr1	1789221	1789222	450	-0.250832558775846	0	1	0	+	7.88	0.17	0
chr1	1795181	1795182	451	-0.303517944527422	0	1	0	-	1.15	0.34	0.1
chr1	1796654	1796655	452	-0.28199483476846	1	1	1	-	7.52	0.17	0.21
chr1	1858792	1858793	458	-0.274846251470228	0	1	0	+	5.53	0.51	0.1
chr1	1899361	1899362	465	-0.300493586343218	0	1	0	+	2.24	0	0.1
chr1	1906414	1906415	466	1.07137401772246	0	1	0	-	25.83	1.53	1.67
chr1	1909137	1909138	469	-0.210319265503684	0	1	0	-	27.46	0.68	4.79
chr1	1919088	1919089	470	-0.301518793530445	0	1	0	-	1.78	0.85	2.19
chr1	1935895	1935896	478	-0.310666527825655	0	1	0	+	0.91	0	0.31
chr1	1944168	1944169	479	1.15537673239755	1	1	0	+	19.18	1.19	1.56
chr1	1960224	1960225	484	0.543540498357021	0	1	0	+	22.47	0.68	1.35
chr1	2043566	2043567	509	-0.310666527825655	0	1	0	-	1.24	0.34	0.83
chr1	2045001	2045002	511	0.935618213287982	1	1	1	-	21.09	0.51	3.33
chr1	2046644	2046645	512	0.344668294776445	0	1	0	-	21.3	3.22	2.71
chr1	2049597	2049598	515	-0.259980293071056	1	1	1	-	6.07	0	0.1
chr1	2091809	2091810	529	1.03885934874541	0	1	1	+	14.98	1.53	1.15
chr1	2104781	2104782	534	-0.27117844174072	0	1	1	-	1.87	0.17	0.73
chr1	2108801	2108802	536	-0.0796068410652365	0	1	0	+	6.28	0.34	0.52
chr1	2132404	2132405	542	-0.27117844174072	0	1	0	+	9.64	0.17	0.42
chr1	2139934	2139935	546	-0.300493586343218	0	1	0	-	12.9	0.85	0.42
chr1	2174464	2174465	558	0.430174409025995	0	1	0	-	18.19	0.17	1.04
chr1	2195357	2195358	567	0.229455074055301	0	1	0	+	24.17	1.7	1.15
chr1	2213047	2213048	572	-0.310666527825655	0	1	0	-	1.69	0.51	0.21
chr1	2227653	2227654	577	-0.28199483476846	0	1	1	+	1.78	0.68	1.25
chr1	2237879	2237880	585	-0.273177592737698	0	1	0	-	2.99	0.17	0.42
chr1	2276282	2276283	592	-0.310666527825655	0	1	0	-	1.06	0.17	0.31
chr1	2311656	2311657	605	-0.26300465125526	1	1	0	+	3.75	0.34	0.42
chr1	2315306	2315307	607	0.762728604793047	1	1	0	-	21.15	0.34	3.75
chr1	2374149	2374150	628	-0.310666527825655	0	1	0	-	1.48	0	0.31
chr1	2381923	2381924	631	0.41563894289127	0	1	0	-	19.64	1.53	1.77
chr1	2382783	2382784	633	0.466398244077751	1	1	0	+	4.77	0.85	1.15
chr1	2406813	2406814	644	-0.310666527825655	0	1	0	+	0.82	0	0.31
chr1	2414561	2414562	648	0.808824869172219	0	1	0	+	23.5	2.72	2.4
chr1	2430238	2430239	652	-0.134986092736571	0	1	0	+	4.17	0.17	0.21
chr1	2443975	2443976	659	-0.310666527825655	0	1	0	+	0.76	0	0.1
chr1	2822169	2822170	815	-0.0334616036205116	0	1	0	+	6.74	0	0.63
chr1	2840544	2840545	823	-0.310666527825655	0	1	0	-	1.96	0.34	0.1
chr1	2868032	2868033	838	-0.310666527825655	0	1	0	+	2.3	0.17	0.21
chr1	2876112	2876113	841	-0.310666527825655	0	1	0	+	4.83	0.17	0.1
chr1	2922212	2922213	858	0.426912764320367	0	1	0	-	5.26	0.34	0.83
chr1	3012656	3012657	879	1.17799886343464	1	1	0	+	12.9	1.53	0.63
chr1	3066347	3066348	897	-0.291345852048008	0	1	0	+	3.47	0	0
chr1	3120020	3120021	916	-0.310666527825655	0	1	0	-	1.24	0.17	0.31
chr1	3284156	3284157	958	-0.0991307998272214	0	1	0	-	9.82	0.17	0.31
chr1	3320133	3320134	970	1.65914100225875	1	1	0	-	8.88	0.85	2.4
chr1	3349901	3349902	979	-0.264029858442488	0	1	0	-	3.9	0	0.52
chr1	3403546	3403547	999	-0.301518793530445	0	1	0	+	1.15	0	0.1
chr1	3410328	3410329	1004	-0.310666527825655	0	1	0	-	1.36	0	0.21
chr1	3417299	3417300	1010	0.498051952008808	1	1	0	+	9.06	0.34	0.1
chr1	3424877	3424878	1012	0.275528258084981	0	1	0	-	15.22	1.02	2.4
chr1	3431442	3431443	1017	-0.256881275144255	0	1	0	+	6.25	0.17	0.63
chr1	3453366	3453367	1025	-0.198005359644579	0	1	0	+	15.8	1.19	3.23
chr1	3454404	3454405	1027	0.139255942889016	1	1	0	+	9.64	0.68	1.88
chr1	3471966	3471967	1032	-0.303517944527422	0	1	0	-	3.93	0	0.1
chr1	3482783	3482784	1036	-0.310666527825655	0	1	0	+	1.6	0.68	0.42
chr1	3484045	3484046	1037	0.61362047532115	1	1	0	-	14.14	1.36	2.81
chr1	3491397	3491398	1039	4.25018288393667	1	1	0	+	24.2	4.41	4.9
chr1	3518382	3518383	1054	2.19602751631311	1	1	0	+	7.94	0.51	0.63
chr1	3525017	3525018	1060	-0.310666527825655	0	1	0	+	0.97	0.17	0.31
chr1	3533603	3533604	1066	-0.310666527825655	0	1	0	+	2.69	0.34	0.94
chr1	3565411	3565412	1080	0.925198796720695	1	1	0	+	17.22	1.87	2.19
chr1	3588551	3588552	1090	-0.23568865764974	0	1	1	+	2.17	0	0.42
chr1	3591667	3591668	1092	-0.168959237701881	0	1	0	+	2.24	0.17	0.21
chr1	3615328	3615329	1098	0.0661807375515087	0	1	0	-	11.15	0.85	0.63
chr1	3619191	3619192	1100	1.43326745145834	1	1	0	-	18.19	3.73	3.54
chr1	3621339	3621340	1101	-0.165817876464738	1	1	0	-	14.02	2.38	0.83
chr1	3625811	3625812	1102	-0.310666527825655	0	1	0	+	1.57	0.34	0.52
chr1	3650024	3650025	1111	-0.310666527825655	0	1	0	-	4.23	0.34	0.31
chr1	3695799	3695800	1128	0.269924430706407	1	1	0	+	8.55	0.85	0.83
chr1	3724591	3724592	1137	4.45046984058021	0	1	0	-	20.78	1.7	3.44
chr1	3727475	3727476	1139	-0.249985824246205	0	1	1	-	1.33	0.17	1.25
chr1	3776107	3776108	1149	-0.239812882763768	0	1	0	+	11.36	0.17	0.42
chr1	3779746	3779747	1150	-0.310666527825655	0	1	0	-	1.63	0.34	0.1
chr1	3801644	3801645	1153	-0.225185223902856	1	1	0	-	17.79	1.02	0.52
chr1	3806624	3806625	1154	-0.310666527825655	1	1	0	-	1.6	0.34	0.21
chr1	3811071	3811072	1156	-0.300493586343218	0	1	0	-	1.36	0	0.63
chr1	3827912	3827913	1162	-0.310666527825655	0	1	0	+	0.72	0	0
chr1	3857339	3857340	1165	-0.293345003044985	0	1	0	+	7.46	0.34	4.79
chr1	3858439	3858440	1166	-0.310666527825655	0	1	0	-	1.36	0	0.21
chr1	3870071	3870072	1171	-0.290499117518367	0	1	0	-	5.83	1.02	0.94
chr1	3899754	3899755	1177	-0.27117844174072	0	1	0	-	3.56	1.02	1.04
chr1	3907383	3907384	1181	-0.310666527825655	0	1	0	-	7.73	0.85	0.94
chr1	3910961	3910962	1182	0.0115926869615248	0	1	0	+	11.66	0.68	1.15
chr1	4173345	4173346	1223	-0.300493586343218	0	1	0	+	1.06	0.17	0.52
chr1	4362808	4362809	1241	-0.310666527825655	0	1	0	+	1.12	0	0.21
chr1	4555733	4555734	1258	-0.152129144859654	0	1	0	+	2.17	0	0.21
chr1	4652753	4652754	1274	3.08155156846717	1	1	0	+	13.65	1.7	1.88
chr1	4742219	4742220	1293	-0.310666527825655	0	1	0	-	0.82	0.34	0.1
chr1	4768725	4768726	1296	-0.310666527825655	0	1	0	-	1.15	0	0.21
chr1	4778164	4778165	1299	-0.300493586343218	0	1	0	+	2.48	0	0.31
